town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,1,78,225,63.43,2,381.45,1.37,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,225,43.59,1,263.5,2.26,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,225,29.77,0,238.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,78,225,43.59,1,262.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,103,21,3.48,0,249.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,103,21,3.32,0,187.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,103,21,3.64,0,188.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,103,21,3.17,0,513.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,127,87,54.97,0,300.8,4.54,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,127,87,55.28,0,301.95,3.84,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,127,87,72.22,0,339.8,82.69,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,127,87,1.46,0,22.3,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,19,103,26.47,0,220.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,19,103,28.01,0,395.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,19,103,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,19,103,27.09,0,221.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,230,210,48.4,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,230,210,45.97,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
